period,planet_radius,semimajor_axis,stellar_radius,stellar_teff,id,planet_name
0.453,3.19,0.01,0.681,4188,42,c
0.743,0.86,0.013,0.524,4061,32,f
0.837,1.38,0.017,1,5627,10,b
1.214,3.46,0.019,0.681,4188,42,b
1.865,3.08,0.025,0.681,4188,42,d
1.486,14.82,0.026,1.048,5787,17,b
1.593,1.67,0.027,1.012,5777,9,d
2.455,9.85,0.029,0.531,4098,45,b
1.856,9.4,0.029,0.89,5731,41,b
2.896,1.11,0.033,0.524,4061,32,e
2.471,14.4,0.036,1.06,5814,1,b
1.764,23,0.038,2.7,9071,13,b
2.205,22.3,0.039,2.71,6264,2,b
3.247,7.1,0.04,0.87,5442,44,b
2.786,1.72,0.043,2.04,6131,21,b
3.214,3.72,0.044,1.27,5858,4,b
3.505,1.82,0.044,0.978,5385,18,b
3.024,10.56,0.044,1.201,6082,43,b
3.696,1.97,0.045,0.939,5443,20,b
3.235,11.07,0.045,1.082,5826,6,b
3.905,11.7,0.047,0.82,5595,71,b
3.522,15.9,0.047,1.56,6025,8,b
3.548,17.4,0.052,2.02,6297,5,b
4.888,4.68,0.052,0.742,4766,3,b
5.901,2.15,0.052,0.524,4061,32,b
4.778,2.14,0.053,0.888,5190,48,b
5.714932,0.0188,0.0553,0.63,5555,62,b
4.438,17.6,0.056,1.38,6011,12,b
5.912,2.17,0.056,0.638,4663,28,b
4.943,11.97,0.059,1.09,5786,15,b
5.729,2.23,0.059,0.74,5294,57,b
7.204,2.71,0.06,0.525,4069,49,b
4.885,16.1,0.061,1.78,5934,7,b
5.399,2.53,0.062,1.242,5793,68,b
6.098,0.91,0.063,0.939,5443,20,e
8.011,2.09,0.063,0.498,3855,54,b
242.4613,1.71,0.064,0.93,5638,69,c
7.877,2.21,0.065,0.548,4222,52,b
8.752,1.99,0.068,0.524,4061,32,c
5.668,1.83,0.068,1.82,5904,33,b
6.239,3.4,0.07,1.66,6103,25,b
6.873,7,0.074,1.07,6354,40,b
8.986,2.02,0.074,0.638,4663,28,c
7.642,4.75,0.075,0.978,5385,18,c
7.132,2.2,0.075,1.47,6180,60,b
7.107,1.95,0.077,1.87,6142,23,b
6.79,10,0.078,1.63,6395,14,b
10.913,2.54,0.079,0.525,4069,49,c
8.145,2.8,0.08,1.12,6043,24,b
7.813,2.2,0.082,1.88,6058,50,b
12.072,1.23,0.083,0.498,3855,54,c
9.287,2.53,0.084,0.857,5541,19,b
9.674,3.15,0.085,0.888,5190,48,c
8.919,2.4,0.087,1.47,6180,60,c
12.283,3.08,0.09,0.577,4486,26,b
9.605,1.11,0.091,1.242,5793,68,c
10.3,1.72,0.092,1.06,5685,11,b
12.4417,0.0077,0.0929,0.63,5555,62,c
10.219,2.6,0.093,1.09,6082,58,b
10.854,3.17,0.093,0.939,5443,20,c
9.376,2.79,0.093,1.88,6058,50,c
10.338,3.8,0.094,0.92,5966,29,b
13.722341,2.24,0.094,0.93,5638,69,b
11.609,1.58,0.095,0.74,5294,57,c
13.367,0.34,0.1,0.728,5288,37,b
10.742,3.69,0.101,1.87,6142,23,c
10.503,3.84,0.104,3.14,4931,56,b
16.385,1.93,0.105,0.548,4222,52,c
12.334,2.9,0.105,1.12,6043,24,c
11.868,1.23,0.106,1.06,6314,59,b
11.902,2.5,0.106,1.47,6180,60,d
13.025,2.9,0.108,1.06,5685,11,c
13.29,3.5,0.111,0.92,5966,29,c
17.251,2.94,0.112,0.577,4486,26,c
12.72,6.51,0.113,1.66,6103,25,c
13.849,1.21,0.116,1.61,5973,36,b
14.859,6.01,0.116,0.978,5385,18,d
13.176,3.44,0.119,1.82,5904,33,c
18.16406,0.0278,0.12,0.63,5555,62,d
15.335,5.72,0.121,0.919,5399,27,b
15.574,2.6,0.124,1.09,6082,58,c
22.781,2.49,0.129,0.524,4061,32,d
16.231,3.44,0.129,1.61,5973,36,c
21.302,0.75,0.137,0.728,5288,37,c
19.577,1.03,0.137,0.939,5443,20,f
17.98,2.22,0.14,1.06,6314,59,c
18.649,3.1,0.141,0.97,6086,53,b
19.274,8.28,0.143,1.012,5777,9,b
27.954,1.56,0.155,0.602,4509,55,b
21.087,9.8,0.155,1.04,6225,39,b
22.687,3.2,0.156,1.06,5685,11,d
20.861,5.7,0.158,1.15,6514,31,b
21.776,5.73,0.166,1.82,5904,33,d
21.405,7.86,0.167,3.14,4931,56,c
29.164,2.11,0.184,0.94,5461,30,b
33.602,7.2,0.191,0.76,5289,46,b
31.331,7.34,0.194,0.919,5399,27,c
31.995,4.18,0.196,1.06,5685,11,e
42.143,1.77,0.203,0.602,4509,55,c
39.792,2,0.208,0.728,5288,37,d
31.785,4.25,0.214,1.82,5904,33,e
38.558,3.5,0.228,0.97,6086,53,c
38.907,8.22,0.229,1.012,5777,9,c
45.294,2.2,0.241,1,5627,10,c
46.686,2.43,0.252,1.06,5685,11,f
45.156,7.3,0.252,0.94,6018,51,b
41.028,4.8,0.254,1.82,5904,33,f
42.632,5.3,0.254,1.15,6514,31,c
49.514,2.98,0.2956,0.964,5636,47,b
60.323,13.2,0.298,0.94,5461,30,c
77.612,2.84,0.344,0.939,5443,20,d
85.313,5.9,0.385,0.94,6018,51,c
87.969,0.383,0.38709893,1,5777,999,Mercury
122.3874,0.0232,0.427,0.63,5555,62,e
118.378,3.38,0.469,1.06,5685,11,g
143.213,9.53,0.53,0.94,5461,30,d
131.458,8.16,0.60347,1.0284,5606,35,b
228.776,8.45,0.7048,0.6489,4450,16,b
267.291,0.0203,0.718,0.63,5555,62,f
224.701,0.949,0.72333199,1,5777,999,Venus
289.862,2.1,0.805,0.85,5510,22,b
303.158,4.61,0.989,0.964,5636,47,c
365.256,1,1,1,5777,999,Earth
288.822,8.56,1.1618,1.1618,5913,34,b
